"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Damasonium alisma  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Damasonium_alisma_CLF114645";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Damasonium_alisma_CLF114645.jpg"
"Damasonium alisma  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Damasonium_alisma_CLF114646";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Damasonium_alisma_CLF114646.jpg"
"Damasonium alisma  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Damasonium_alisma_CLF114647";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Damasonium_alisma_CLF114647.jpg"
"Damasonium alisma  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Damasonium_alisma_CLF114648";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Damasonium_alisma_CLF114648.jpg"
"Sagittaria latifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Sagittaria_latifolia_CLF114649";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Sagittaria_latifolia_CLF114649.jpg"
"Sagittaria latifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Sagittaria_latifolia_CLF114650";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Sagittaria_latifolia_CLF114650.jpg"
"Sagittaria sagittifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Sagittaria_sagittifolia_CLF114651";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Sagittaria_sagittifolia_CLF114651.jpg"
"Sagittaria sagittifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Sagittaria_sagittifolia_CLF114652";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Sagittaria_sagittifolia_CLF114652.jpg"
"Sagittaria sagittifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Sagittaria_sagittifolia_CLF114653";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Sagittaria_sagittifolia_CLF114653.jpg"
"Allium angulosum  (Alliacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alliacees_Allium_angulosum_CLF114654";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alliacees_Allium_angulosum_CLF114654.jpg"
"Allium amesthystinum  (Alliacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alliacees_Allium_amesthystinum_CLF114655";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alliacees_Allium_amesthystinum_CLF114655.jpg"
"Allium ampeloprasum  (Alliacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alliacees_Allium_ampeloprasum_CLF114657";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alliacees_Allium_ampeloprasum_CLF114657.jpg"
"Allium carinatum  (Alliacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alliacees_Allium_carinatum_CLF114656";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alliacees_Allium_carinatum_CLF114656.jpg"
"Allium carinatum  (Alliacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alliacees_Allium_carinatum_CLF114659";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alliacees_Allium_carinatum_CLF114659.jpg"
